CustomerID,NameStyle,Title,FirstName,MiddleName,LastName,Suffix,CompanyName,SalesPerson,EmailAddress,Phone,PasswordHash,PasswordSalt,rowguid
462,FALSE,Mr.,Bob,,Gage,,General Riding Supplies,adventure-works\garrett1,bob1@adventure-works.com,962-555-0175,SeCchhGjoFaNiCwjURJ30XSE9lKCbSxUL9tDtRrg1FU=,hZbeVTs=,5c085e79-91ee-4855-92c2-ba36cd6980e0
466,FALSE,Sra.,Janeth,,Esteves,,Central Bicycle Specialists,adventure-works\jae0,janeth1@adventure-works.com,1 (11) 500 555-0136,X1Y5qQtF/cCa0JcWV87/0KfmpSje5R9/RdWM+fyB7Go=,+iF/Sqs=,94b95997-fd84-4632-bb16-6f21fe706051
468,FALSE,Mr.,Paul,J.,Fulton,,Blue Bicycle Company,adventure-works\michael9,paul3@adventure-works.com,492-555-0146,kdhlX1CwoRb+G+IbaNr94q5wH+aDau5he+dsV5sbuXw=,HfBhcWQ=,ed1ff0e0-836d-42b3-a9dc-f8faaf32adba
469,FALSE,Ms.,Twanna,R.,Evans,,Vast Bike Sales and Rental,adventure-works\pamela0,twanna0@adventure-works.com,554-555-0124,357SDpcamaYl8SbrrrNR4GmwYLlfdnZvJy645g6uNIw=,5hdHSeE=,f9eec39e-a3a3-41ab-8abd-1ab31c0b729b
470,FALSE,Ms.,Delia,B.,Toone,,Wingtip Toys,adventure-works\david8,delia0@adventure-works.com,328-555-0192,UnSgG1XBHKmwMxg5VTpybLrsNrIqNTu91vgwbUeI10o=,k8iQbOY=,d7b637cf-c957-41c1-ae45-590a1a9f4527
471,FALSE,Mr.,John,,Ford,,Social Activities Club,adventure-works\jillian0,john19@adventure-works.com,596-555-0153,Uu7MYSoXZONPT3nnOss6MamCI0JtQpdQ0lHxfbTXg2s=,MFN+Ar8=,7578fa92-b7bf-4fa8-94e3-186b08221382
472,FALSE,Ms.,Ann,R.,Evans,,Summer Sports Place,adventure-works\jillian0,ann1@adventure-works.com,252-555-0127,DLW2IAbnBTdpl45F2NtNmotuCcasAhlznF/e4eBbffs=,r8MY8Co=,dcedc9d8-c1fd-4720-95f2-4be8c5a8b5d1
473,FALSE,Ms.,Kay,E.,Krane,,Racing Toys,adventure-works\shu0,kay0@adventure-works.com,731-555-0187,GEdCYauvHekFxYpM0bYn4e0ipp8SY+vTyO9aqudo25Y=,hvfA+Y0=,bdc2cd6e-0ff5-4af8-a5b2-eeaf07b882e5
474,FALSE,Mr.,Mihail,,Frintu,,Retail Cycle Shop,adventure-works\linda3,mihail1@adventure-works.com,777-555-0163,0drckP/Xt0FMU29UWCYFp/wxtTBNd5PxmzaxMM5VKYc=,hxyAApA=,9437f421-4e1a-4223-8d41-b3008bc7bbc9
475,FALSE,Mr.,John,,Evans,,Real Sporting Goods,adventure-works\shu0,john17@adventure-works.com,581-555-0172,zI7V47DGDDCr+5PUQzccWY8u8MazpHxzT0wB13+8m50=,Pz84Lbs=,14ca36fa-e45c-421c-bb5a-22cde0946aea
